,German,English
2,sich fÃ¼hlen,Feeling
3,ich fÃ¼hle mich,I feel like
4,mÃ¼de,Tired
7,Warum nicht?,Why not?
9,Hast du schon,Have you?
10,"Du bist schon 3,5","You are already 3,5"
12,aufwachen - als,wake up - as
16,Was hast du,What have you got
17,"toll - great,","Great - great,"
18,Lebensmittel,Food
23,ich auch,Me too
25,Ich plane meine Zeit ein,I plan my time
27,um .... zu + Infinitiv,um.... to + infinitive
28,"Ich plane mein Zeit ein, um Deutsch zu lernen",I plan my time to learn German
29,mÃ¼ssen - to have to,jimoto - to have to
30,Kannst du auf Arbeit auch Deutsch lernen?,Can you learn German at work?
31,erklÃ¤ren - to explain,"to explain - to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain, to explain."
33,sehen,""""
34,ansehen,""""
36,"Ich lernen Deutsch, wenn ich meinen Kollegen zuhÃ¶re",I learn German when I listen to my colleagues
38,Vorsicht! Achtung! Aufpassen!,Caution! Attention! Watch out!
39,warnen - to warn,"to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn, to warn."
41,schnell - fast,Fast - almost
43,Kunst - art,art - art
45,Hast du Deutsch geÃ¼bt?,Did you practice German?
48,Und so hatte ich keine Zeit,And so I had no time
50,more - mehr,more - more
51,"Ich denke, ich muss mehr Ã¼ben",I think I need to practice more
52,Ich muss diese Woche 12 Stunden am Tag arbeiten,I have to work 12 hours a day this week
53,NÃ¤chste Woche,Next week
56,"Jetzt, wo ich klar komme, habe ich mehr Zeit zum lernen","Now that I get over it, I have more time to learn"
57,Wie lange bleibst du?,How long do you stay?
59,Montag Dienstag Mittwoch Donnerstag Freitag Samstag Sonntag,Monday Tuesday Wednesday Thursday Friday Saturday Sunday
60,Super!,Great!
61,GroÃartig!,Great!
62,toll!,Great!
63,Wow!,Wow!
64,SchÃ¶n!,Beautiful!
67,Ich hatte einen Stopp,I had a stop
69,Zwischenstopp,Stopover
71,ich habe....... gewartet,I have been waiting.......
75,Was hast du in der Zeit gemacht?,What did you do in that time?
76,Hast du zurÃ¼ck einen Direktflug oder wieder Zwischenstopp?,Do you have a direct flight back or another stopover?
77,Warte!,Wait!
78,Warte kurz!,Wait a minute!
79,weiter - further,forward - further
82,Easy German lol,Easy German lol
84,Wo gefÃ¤llt es dir besser?,Where do you like it better?
85,ich mag - mir gefÃ¤llt,I like - I like
86,"der Norden, der SÃ¼den, der Westen, der Osten","the North, the South, the West, the East"
87,die Himmelsrichtungen,the cardinal points
91,Ã¼berall,Everywhere
93,Was ist der Unterschied?,What's the difference?
94,Das amerikanische Essen,The American Food
95,ist oft kÃ¼nstlich,is often artificial
99,"spanisch. afrikanisch., koreanisch, franzÃ¶sisch","spanish, african, korean, french"
102,nicht echt,not real
105,Ich habe die schlechte QualitÃ¤t vom essen realisiert,I realised the poor quality of food
106,Ich habe die schlechte QualitÃ¤t vom Essen nicht realisiert,I did not realize the poor quality of the food
108,"Ich glaube, du magst philippinisch Essen âºï¸",I think you like Filipino food.
110,Brian hat Recht,Brian is right
114,Kochst du viel zu,Do you cook too much
117,und viel Fett,and lots of fat
118,Ist es dein letzter,Is it your last
119,Rindfleisch,Beef
121,BrÃ¤tst oder,BrÃ ¤tst or
122,Fritten,Fries
124,Kater - hangover,Hangover - hangover
125,und dann warst,and then you were
126,Jup!,Yup!
127,Klar!,Sure!
128,Logisch!,Logical!
129,Pommes,French fries
130,ungefÃ¤hr so,Approximately so
131,hell,
132,Wann wird es dunkel?,When will it get dark?
133,18 Uhr,6 p.m.
134,um 6,At 6 a.m.
135,18:30,6: 30 p.m.
136,halb 7,
